Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,Queen (152cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-9,50000,,100,continue,manual,19249,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-chiroflex-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Ultra Premium",TRUE,Size,King (183cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-chiroflex-bed-set-10,50000,,100,continue,manual,24119,,TRUE,TRUE,,,,,FALSE,Chiroflex Bed Set,Chiroflex Bed Set by Cloud Nine. Official Ultra Premium collection.,active
cloud-nine-camden-bed-set,Camden Bed Set,"<h3>Camden Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Premium</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/cloud-nine-camden-queen/"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/cloud-nine-camden-queen/</a></li>
  <li><a href=""https://cloudnine.co.za/beds/premium/camden/"" target=""_blank"" rel=""noopener noreferrer"">https://cloudnine.co.za/beds/premium/camden/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Premium",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-camden-bed-set-1,50000,,100,continue,manual,8879,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Cloud_Nine_Epic_Comfort_Bed_Set.png,1,Camden Bed Set,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-camden-bed-set-2,50000,,100,continue,manual,10179,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-camden-bed-set-3,50000,,100,continue,manual,12429,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-camden-bed-set-4,50000,,100,continue,manual,13609,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,King (183cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-camden-bed-set-5,50000,,100,continue,manual,16969,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Single (91cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-camden-bed-set-6,50000,,100,continue,manual,9589,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Three Quarter (107cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-camden-bed-set-7,50000,,100,continue,manual,10999,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Double (137cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-camden-bed-set-8,50000,,100,continue,manual,13429,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Queen (152cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-camden-bed-set-9,50000,,100,continue,manual,14699,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-camden-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,King (183cm),Length,Extra Length (200cm),Configuration,Bed Set,cloud-nine-camden-bed-set-10,50000,,100,continue,manual,18329,,TRUE,TRUE,,,,,FALSE,Camden Bed Set,Camden Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-epic-comfort-bed-set,Epic Comfort Bed Set,"<h3>Epic Comfort Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Premium</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/cloud-nine-epic-comfort-queen/"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/cloud-nine-epic-comfort-queen/</a></li>
  <li><a href=""https://cloudnine.co.za/beds/premium/epic-comfort/"" target=""_blank"" rel=""noopener noreferrer"">https://cloudnine.co.za/beds/premium/epic-comfort/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Premium",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-epic-comfort-bed-set-1,50000,,100,continue,manual,7819,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Cloud_Nine_Epic_Comfort_Bed_Set.png,1,Epic Comfort Bed Set,FALSE,Epic Comfort Bed Set,Epic Comfort Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-epic-comfort-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-epic-comfort-bed-set-2,50000,,100,continue,manual,8919,,TRUE,TRUE,,,,,FALSE,Epic Comfort Bed Set,Epic Comfort Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-epic-comfort-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-epic-comfort-bed-set-3,50000,,100,continue,manual,10909,,TRUE,TRUE,,,,,FALSE,Epic Comfort Bed Set,Epic Comfort Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-epic-comfort-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-epic-comfort-bed-set-4,50000,,100,continue,manual,11839,,TRUE,TRUE,,,,,FALSE,Epic Comfort Bed Set,Epic Comfort Bed Set by Cloud Nine. Official Premium collection.,active
cloud-nine-epic-comfort-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Premium",TRUE,Size,King (183cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-epic-comfort-bed-set-5,50000,,100,continue,manual,14919,,TRUE,TRUE,,,,,FALSE,Epic Comfort Bed Set,Epic Comfort Bed Set by Cloud Nine. Official Premium collection.,active
